#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU384	GS|99.6|MH451607|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Schizothecium,s:Schizothecium dakotense	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Schizothecium,s:Schizothecium dakotense	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Schizothecium
OTU385	GS|100.0|LC077702|SH1529584.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora,s:Cladophialophora chaetospira	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora,s:Cladophialophora chaetospira	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU386	GSL|100.0|MG066631|SH1546323.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella tricincta	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella tricincta	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella
OTU387	SS|1.0000|MH452490|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes
OTU388	GDL|98.6|KP160383|NA;	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU389	GS|98.0|KX403676|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes
OTU390	GS|100.0|GU581207|SH1565732.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
OTU391	GS|99.6|MH451615|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Metazoa
OTU392	GS|99.6|DQ377416|SH1528622.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi
OTU393	US|0.9702|MF571460|NA;k:Rhizaria,p:Cercozoa	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU394	US|0.9831|FJ797480|NA;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa,o:Cercomonadida,f:Cercomonadidae,g:Paracercomonas	No hit	k:Rhizaria,p:Cercozoa
OTU395	GS|99.3|KC152237|SH1555187.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus,s:Suillus pungens	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus,s:Suillus pungens	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Suillaceae,g:Suillus
OTU396	GS|99.0|EF417804|SH1154460.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina
OTU397	GS|98.2|KT196303|NA;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales
OTU398	US|0.9518|KT241681|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes	k:Fungi	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Leotiomycetes
OTU399	SS|0.9600|FJ196924|SH1577731.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrophorus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrophorus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrophorus	k:Fungi,p:Basidiomycota
OTU400	GS|99.3|MF611792|NA;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae
OTU401	GS|100.0|JX043030|SH1522512.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota	No hit
OTU402	SS|0.9500|MH451087|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU403	GSL|100.0|FJ623268|SH1187854.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma oblongisporum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma oblongisporum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma
OTU404	SS|0.8800|KP174744|NA;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Cunninghamellaceae,g:Absidia	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Cunninghamellaceae,g:Absidia	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Cunninghamellaceae,g:Absidia	k:Fungi,p:Mucoromycota,c:Mucoromycetes
OTU405	GDL|98.6|KP160383|NA;	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU406	GS|98.8|MF568982|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU407	GS|99.3|MG589761|SH1551723.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Thanatephorus,s:Thanatephorus cucumeris	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Thanatephorus,s:Thanatephorus cucumeris	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
OTU408	GSL|100.0|MH035715|SH1645869.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Trichocladium,s:Trichocladium opacum	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Trichocladium,s:Trichocladium opacum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Trichocladium
OTU409	US|0.9720|KP867537|NA;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi	k:Fungi,p:Glomeromycota	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU410	GS|100.0|EU563496|SH1141181.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella
OTU411	GSL|100.0|LC206664|SH1522247.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	No hit
OTU412	GS|98.8|MF494612|SH1616188.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Paraphoma,s:Paraphoma fimeti	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Paraphoma,s:Paraphoma fimeti	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota
OTU413	GS|99.2|KX908527|SH1144170.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota
OTU414	SS|1.0000|KY406819|SH1222392.08FU;k:Viridiplantae,p:Bryophyta,c:Bryopsida,o:Pottiales,f:Pottiaceae	k:Viridiplantae,p:Bryophyta,c:Bryopsida,o:Pottiales,f:Pottiaceae,g:Bryoerythrophyllum,s:Bryoerythrophyllum jamesonii	k:Viridiplantae,p:Bryophyta,c:Bryopsida,o:Pottiales,f:Pottiaceae	k:Viridiplantae,p:Bryophyta,c:Bryopsida
OTU415	GS|99.7|FJ554148|SH1149352.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales	k:Fungi,p:Basidiomycota,c:Agaricomycetes
OTU416	GSL|100.0|LT853104|SH1552805.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia,s:Bartalinia robillardoides	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia,s:Bartalinia robillardoides	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia
OTU417	SS|0.9100|KX194441|NA;k:Fungi,p:Kickxellomycota,c:Kickxellomycetes,o:Kickxellales,f:Kickxellaceae,g:Ramicandelaber	k:Fungi	k:Fungi,p:Kickxellomycota,c:Kickxellomycetes,o:Kickxellales,f:Kickxellaceae,g:Ramicandelaber	k:Fungi,p:Kickxellomycota,c:Kickxellomycetes,o:Kickxellales,f:Kickxellaceae,g:Ramicandelaber
OTU418	GS|98.5|MG160036|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU419	US|0.9690|None;k:Rhizaria,p:Cercozoa	No hit	No hit	k:Rhizaria,p:Cercozoa
OTU420	GSL|100.0|MH161250|SH1529987.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium
OTU421	GS|99.5|KP160087|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi
OTU422	GS|99.7|EU563487|SH1615390.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina,s:Sebacina incrustans	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Sebacinaceae,g:Sebacina,s:Sebacina incrustans	k:Fungi
OTU423	US|0.9538|KT220155|NA;k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Lecanoromycetes
OTU424	GS|100.0|KU536327|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota
OTU425	US|0.9831|KX223115|NA;k:Rhizaria,p:Cercozoa	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU426	GS|99.0|KP891304|NA;k:Fungi,p:Ascomycota	k:Fungi	k:Fungi	k:Fungi,p:Ascomycota
OTU427	GS|100.0|LN912297|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	k:Fungi	k:Fungi
OTU428	GS|100.0|KC894838|SH1171797.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales	k:Fungi
OTU429	GS|99.6|EF434063|SH1176626.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	k:Fungi,p:Ascomycota
OTU430	GSL|100.0|MG828953|SH1525448.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
OTU431	SS|0.9900|KP160753|NA;k:Rhizaria,p:Cercozoa	k:Fungi	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa
OTU432	GS|99.6|KY462320|SH1170826.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU433	GS|98.7|GU310534|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota
OTU434	GS|100.0|KX193226|NA;k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales,f:Rhizophydiaceae,g:Rhizophydium	k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales	k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales,f:Rhizophydiaceae,g:Rhizophydium	k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales
OTU435	US|0.9025|KX194038|NA;k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales	k:Fungi	k:Fungi	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales
OTU436	GS|98.6|MH452609|NA;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales	k:Fungi	k:Fungi	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales
OTU437	GS|98.9|KU536526|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU438	GS|98.0|FJ554240|SH1512629.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes
OTU439	GS|98.3|UDB020879|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae
OTU440	SS|0.9900|EF577177|SH1145268.08FU;k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales,f:Chromulinaceae	k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales,f:Chromulinaceae	k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales,f:Chromulinaceae	k:Stramenopila,p:Ochrophyta,c:Chrysophyceae
OTU441	GS|100.0|KC818337|SH1522748.08FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales
OTU442	SS|0.9500|GQ258471|SH1503592.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Leucoagaricus,s:Leucoagaricus erythrophaeus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU443	GS|97.7|HQ222874|SH1184568.08FU;k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum glabrum	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum glabrum	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum fallax	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum
OTU444	GS|98.2|KX194998|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	k:Fungi,p:Ascomycota
OTU445	SS|1.0000|KU878606|SH1563816.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hymenogastraceae,g:Hymenogaster	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota
OTU446	GDL|99.7|KY935086|NA;	k:Protista	k:Viridiplantae,p:Anthophyta	k:Viridiplantae,p:Anthophyta
OTU447	GS|100.0|KF476949|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella
OTU448	GS|98.8|AY208785|SH1648937.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Bartaliniaceae,g:Bartalinia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU449	GDL|100.0|MF483166|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Stephanosporaceae	k:Fungi
OTU450	GSL|100.0|KT357605|SH1526403.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
OTU451	GS|100.0|KU838426|SH1529610.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora
OTU452	GS|98.1|EU784258|SH1562961.08FU;k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum umbratile	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum umbratile	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum umbratile	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum
OTU453	GS|100.0|FJ708606|SH1539591.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
OTU454	GS|98.7|LN911358|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
OTU455	GS|100.0|KM056324|SH1552173.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Plenodomus,s:Plenodomus biglobosus	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Plenodomus,s:Plenodomus biglobosus	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Plenodomus,s:Plenodomus biglobosus	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Plenodomus
OTU456	SS|0.8600|KT244528|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae	k:Fungi
OTU457	GSL|100.0|MF380953|SH1547057.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU458	GS|100.0|KY968865|SH1590059.08FU;k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Caryophyllales,f:Amaranthaceae,g:Amaranthus,s:Amaranthus palmeri	k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Caryophyllales,f:Amaranthaceae,g:Amaranthus,s:Amaranthus palmeri	k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Caryophyllales,f:Amaranthaceae,g:Amaranthus,s:Amaranthus palmeri	k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Caryophyllales
OTU459	US|0.9090|None;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales	No hit	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales
OTU460	GS|99.0|MG162429|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
